"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score","home_longitude","home_latitude","away_longitude","away_latitude","travel"
"reg","2019110303","KC","MIN",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110303/2019110303_gtd.json",NA,NA,-94.48388,39.04895,-93.25848,44.97401,828
"reg","2019110302","CAR","TEN",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110302/2019110302_gtd.json",NA,NA,-80.85331,35.22584,-86.77252,36.16654,676
"reg","2019110301","BUF","WAS",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110301/2019110301_gtd.json",NA,NA,-78.78679,42.77379,-76.86444,38.90778,570
"reg","2019110308","SEA","TB",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110308/2019110308_gtd.json",NA,NA,-122.33165,47.59476,-82.50349,27.97884,5042
"reg","2019110307","OAK","DET",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110307/2019110307_gtd.json",NA,NA,-122.1999,37.75233,-83.04564,42.34005,4150
"reg","2019110310","LAC","GB",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110310/2019110310_gtd.json",NA,NA,-118.2611,33.8644,-88.06223,44.50117,3524
"reg","2019110309","DEN","CLE",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110309/2019110309_gtd.json",NA,NA,-105.02028,39.74396,-81.69962,41.50618,2450
"reg","2019110311","BAL","NE",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110311/2019110311_gtd.json",NA,NA,-76.6227,39.2779,-71.26491,42.09188,682
"reg","2019110400","NYG","DAL",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110400/2019110400_gtd.json",NA,NA,-74.0745,40.8135,-97.09277,32.74778,2768
"reg","2019110700","OAK","LAC",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110700/2019110700_gtd.json",NA,NA,-122.1999,37.75233,-118.2611,33.8644,694
"reg","2019111001","CIN","BAL",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111001/2019111001_gtd.json",NA,NA,-84.51623,39.09532,-76.6227,39.2779,846
"reg","2019111002","CLE","BUF",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111002/2019111002_gtd.json",NA,NA,-81.69962,41.50618,-78.78679,42.77379,346
"reg","2019111003","GB","CAR",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111003/2019111003_gtd.json",NA,NA,-88.06223,44.50117,-80.85331,35.22584,1490
"reg","2019111004","NO","ATL",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111004/2019111004_gtd.json",NA,NA,-90.08128,29.95116,-84.40121,33.75735,848
"reg","2019111000","CHI","DET",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111000/2019111000_gtd.json",NA,NA,-87.6167,41.8623,-83.04564,42.34005,474
"reg","2019111005","NYJ","NYG",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111005/2019111005_gtd.json",NA,NA,-74.0745,40.8135,-74.0745,40.8135,0
"reg","2019111007","TEN","KC",10,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019111007/2019111007_gtd.json",NA,NA,-86.77252,36.16654,-94.48388,39.04895,932
